ID_CLIENTE,CHURN,GENERO,ADULTO_MAYOR,PAREJA,DEPENDIENTES,ANTIGUEDAD_MESES,SERVICIO_TELEFONICO,LINEAS_MULTIPLES,TIPO_INTERNET,SEGURIDAD_EN_LINEA,RESPALDO_EN_LINEA,PROTECCION_DISPOSITIVO,SOPORTE_TECNICO,STREAMING_TV,STREAMING_PELICULAS,TIPO_CONTRATO,FACTURACION_ELECTRONICA,METODO_PAGO,CARGO_MENSUAL,CARGO_TOTAL,CHURN_FLAG
0082-LDZUE,No,Hombre,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque por correo,443,443.0,0.0
0082-OQIQY,No,Hombre,0,No,No,29,Si,No,Fibra óptica,No,No,No,Si,Si,Si,Mes a mes,Si,Cheque electrónico,942,26076.0,0.0
0083-PIVIK,No,Hombre,0,No,No,64,Si,Si,DSL,Si,Si,Si,Si,Si,No,Un año,No,Cheque electrónico,8125,556755.0,0.0
0089-IIQKO,No,Mujer,0,Si,Si,39,Si,Si,Fibra óptica,No,No,No,Si,Si,Si,Mes a mes,Si,Tarjeta de crédito (automática),9995,37674.0,0.0
0093-EXYQL,No,Mujer,1,No,No,40,Si,No,Fibra óptica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,9155,36736.0,0.0
0093-XWZFY,Si,Hombre,0,No,No,40,Si,Si,Fibra óptica,No,Si,Si,No,Si,Si,Mes a mes,Si,Tarjeta de crédito (automática),1045,403685.0,1.0
0094-OIFMO,Si,Mujer,1,No,No,11,Si,No,Fibra óptica,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,950,11203.0,1.0
0096-BXERS,No,Mujer,0,Si,No,6,Si,Si,DSL,No,No,No,No,No,No,Mes a mes,No,Cheque electrónico,5035,31455.0,0.0
0096-FCPUF,No,Hombre,0,No,No,30,Si,Si,DSL,Si,No,No,No,No,Si,Mes a mes,Si,Cheque por correo,645,188845.0,0.0
0098-BOWSO,No,Hombre,0,No,No,27,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Mes a mes,Si,Cheque electrónico,194,5298.0,0.0
0100-DUVFC,No,Hombre,1,Si,No,70,Si,Si,Fibra óptica,No,Si,Si,No,Si,Si,Un año,Si,Cheque electrónico,1048,730895.0,0.0
0103-CSITQ,No,Mujer,0,Si,No,57,Si,Si,Fibra óptica,No,Si,Si,Si,Si,Si,Un año,Si,Transferencia bancaria (automática),1094,62527.0,0.0
0104-PPXDV,No,Hombre,0,Si,No,58,Si,No,DSL,No,No,Si,No,No,No,Un año,No,Tarjeta de crédito (automática),503,287855.0,0.0
0106-GHRQR,No,Hombre,0,No,No,16,Si,Si,DSL,No,Si,Si,No,No,Si,Mes a mes,Si,Transferencia bancaria (automática),714,12121.0,0.0
0106-UGRDO,No,Mujer,0,Si,No,69,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque electrónico,1160,818285.0,0.0
0107-WESLM,Si,Hombre,0,No,No,1,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Mes a mes,Si,Cheque electrónico,1985,1985.0,1.0
0107-YHINA,Si,Hombre,0,No,Si,1,Si,Si,Fibra óptica,No,No,Si,No,Si,Si,Mes a mes,Si,Cheque electrónico,9975,9975.0,1.0
0111-KLBQG,No,Hombre,1,Si,Si,32,Si,No,Fibra óptica,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque por correo,9395,286145.0,0.0
0112-QAWRZ,No,Hombre,0,Si,Si,16,Si,Si,Fibra óptica,No,No,Si,No,Si,No,Mes a mes,Si,Transferencia bancaria (automática),908,14422.0,0.0
0112-QWPNC,Si,Hombre,0,Si,No,49,Si,Si,DSL,Si,No,Si,Si,Si,Si,Un año,No,Cheque electrónico,8435,405935.0,1.0
0114-IGABW,No,Mujer,0,Si,No,71,No,No phone service,DSL,No,Si,Si,Si,Si,Si,Dos años,No,Transferencia bancaria (automática),5825,41459.0,0.0
0114-PEGZZ,No,Mujer,0,No,No,33,Si,Si,Fibra óptica,No,Si,Si,No,Si,Si,Mes a mes,No,Cheque electrónico,10755,36455.0,0.0
0114-RSRRW,No,Mujer,0,Si,No,10,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Mes a mes,Si,Transferencia bancaria (automática),1995,18775.0,0.0
0115-TFERT,Si,Hombre,0,Si,No,21,Si,Si,Fibra óptica,No,Si,Si,Si,Si,Si,Mes a mes,Si,Cheque electrónico,1112,23171.0,1.0
0117-LFRMW,Si,Hombre,0,Si,Si,37,No,No phone service,DSL,Si,Si,Si,No,No,No,Mes a mes,No,Transferencia bancaria (automática),402,14488.0,1.0
0118-JPNOY,No,Mujer,1,No,No,26,Si,No,Fibra óptica,Si,No,No,No,Si,No,Mes a mes,Si,Tarjeta de crédito (automática),858,219365.0,0.0
0120-YZLQA,,Hombre,0,No,No,71,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Dos años,Si,Tarjeta de crédito (automática),199,13551.0,
0121-SNYRK,No,Hombre,0,No,No,50,No,No phone service,DSL,Si,No,No,Si,No,No,Un año,Si,Cheque por correo,354,17489.0,0.0
0122-OAHPZ,Si,Mujer,0,No,No,7,Si,Si,Fibra óptica,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,7385,51125.0,1.0
0123-CRBRT,No,Mujer,0,Si,Si,61,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Cheque por correo,881,552675.0,0.0
0125-LZQXK,Si,Hombre,0,No,No,15,Si,No,Fibra óptica,No,No,Si,Si,Si,Si,Mes a mes,Si,Cheque electrónico,10135,155395.0,1.0
0128-MKWSG,No,Mujer,0,No,Si,26,No,No phone service,DSL,Si,No,No,Si,No,Si,Mes a mes,No,Cheque por correo,458,1147.0,0.0
0129-KPTWJ,No,Hombre,0,Si,No,72,Si,No,Fibra óptica,No,No,Si,No,Si,Si,Mes a mes,Si,Cheque electrónico,9465,674735.0,0.0
0129-QMPDR,No,Hombre,0,Si,Si,44,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Un año,Si,Transferencia bancaria (automática),205,86505.0,0.0
0130-SXOUN,No,Hombre,0,No,No,66,Si,Si,Fibra óptica,No,Si,No,No,No,Si,Mes a mes,No,Tarjeta de crédito (automática),894,59769.0,0.0
0133-BMFZO,Si,Mujer,0,No,No,2,Si,No,Fibra óptica,Si,Si,No,Si,No,No,Mes a mes,Si,Cheque electrónico,8625,18165.0,1.0
0134-XWXCE,No,Mujer,1,No,No,44,Si,No,DSL,No,No,Si,Si,Si,Si,Un año,No,Transferencia bancaria (automática),7485,326805.0,0.0
0135-NMXAP,Si,Mujer,0,No,No,12,Si,Si,Fibra óptica,No,Si,No,No,Si,No,Mes a mes,Si,Transferencia bancaria (automática),8975,10524.0,1.0
0136-IFMYD,No,Hombre,1,Si,No,69,Si,Si,Fibra óptica,No,Si,Si,Si,Si,Si,Dos años,Si,Cheque electrónico,10995,763425.0,0.0
0137-OCGAB,Si,Mujer,0,No,No,1,Si,Si,Fibra óptica,No,Si,No,No,No,No,Mes a mes,Si,Cheque por correo,802,802.0,1.0
0137-UDEUO,Si,Mujer,0,No,No,3,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Mes a mes,No,Cheque por correo,1985,6375.0,1.0
0139-IVFJG,No,Mujer,0,Si,No,2,Si,No,Fibra óptica,Si,Si,No,No,Si,No,Mes a mes,No,Cheque electrónico,9035,1905.0,0.0
0141-YEAYS,No,Mujer,1,No,No,27,Si,Si,Fibra óptica,No,Si,Si,No,No,No,Mes a mes,Si,Transferencia bancaria (automática),8645,240105.0,0.0
0142-GVYSN,No,Hombre,0,No,No,26,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Mes a mes,Si,Cheque electrónico,203,51125.0,0.0
0147-ESWWR,No,Mujer,1,Si,No,39,Si,Si,Fibra óptica,No,No,No,Si,Si,Si,Mes a mes,Si,Cheque electrónico,10125,394915.0,0.0
0148-DCDOS,Si,Hombre,0,No,No,25,Si,Si,Fibra óptica,No,No,No,No,Si,Si,Mes a mes,Si,Transferencia bancaria (automática),947,23621.0,1.0
0151-ONTOV,Si,Mujer,0,No,No,1,Si,No,Fibra óptica,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,709,709.0,1.0
0154-QYHJU,,Hombre,0,No,No,29,Si,No,DSL,Si,Si,No,Si,No,No,Un año,Si,Cheque electrónico,5875,16962.0,
0156-FVPTA,Si,Hombre,0,Si,No,22,Si,No,DSL,Si,No,No,Si,No,No,Mes a mes,Si,Cheque electrónico,542,11527.0,1.0
0162-RZGMZ,,Mujer,1,No,No,5,Si,No,DSL,Si,Si,No,Si,No,No,Mes a mes,No,Tarjeta de crédito (automática),599,28785.0,
0164-APGRB,No,Mujer,0,No,No,72,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque electrónico,1149,84967.0,0.0
0164-XAIRP,No,Mujer,0,No,No,24,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Dos años,Si,Transferencia bancaria (automática),1955,4702.0,0.0
0168-XZKBB,No,Mujer,0,Si,No,19,Si,Si,Fibra óptica,No,No,No,No,Si,No,Mes a mes,Si,Cheque electrónico,8685,15644.0,0.0
0174-QRVVY,No,Hombre,0,Si,Si,71,Si,Si,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Dos años,No,Tarjeta de crédito (automática),2535,184755.0,0.0
0177-PXBAT,No,Hombre,1,Si,No,33,Si,Si,Fibra óptica,Si,No,Si,Si,Si,Si,Mes a mes,Si,Transferencia bancaria (automática),1099,36947.0,0.0
0178-CIIKR,No,Mujer,0,No,No,3,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Mes a mes,No,Cheque por correo,1995,58.0,0.0
0178-SZBHO,No,Hombre,0,Si,Si,47,Si,Si,Fibra óptica,No,Si,No,No,Si,No,Mes a mes,No,Cheque electrónico,872,401745.0,0.0
0181-RITDD,No,Hombre,0,Si,Si,62,Si,No,Fibra óptica,Si,Si,Si,Si,Si,Si,Dos años,No,Cheque por correo,10815,682565.0,0.0
0186-CAERR,No,Hombre,0,No,No,71,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Un año,Si,Transferencia bancaria (automática),1163,830955.0,0.0
0187-QSXOE,No,Hombre,1,Si,No,7,Si,No,Fibra óptica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,890,60545.0,0.0
0187-WZNAB,No,Mujer,0,Si,Si,27,Si,No,Fibra óptica,Si,No,No,No,No,No,Mes a mes,No,Cheque por correo,744,197235.0,0.0
0188-GWFLE,No,Hombre,0,No,No,2,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Mes a mes,No,Cheque por correo,2005,337.0,0.0
0191-EQUUH,No,Mujer,0,No,Si,25,No,No phone service,DSL,Si,No,No,Si,No,No,Dos años,No,Transferencia bancaria (automática),3505,84445.0,0.0
0191-ZHSKZ,No,Hombre,1,No,No,30,Si,No,DSL,Si,Si,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,7475,21113.0,0.0
0193-ESZXP,Si,Mujer,1,Si,No,58,Si,No,Fibra óptica,Si,Si,No,Si,Si,Si,Un año,Si,Tarjeta de crédito (automática),1055,62055.0,1.0
0195-IESCP,Si,Hombre,0,Si,No,10,Si,Si,Fibra óptica,No,No,No,No,No,Si,Mes a mes,Si,Cheque electrónico,8525,8553.0,1.0
0196-JTUQI,No,Mujer,0,No,No,9,Si,Si,Fibra óptica,No,No,No,No,No,No,Mes a mes,Si,Tarjeta de crédito (automática),752,63385.0,0.0
0196-VULGZ,Si,Mujer,1,Si,No,6,Si,Si,Fibra óptica,No,No,No,No,No,Si,Mes a mes,Si,Cheque electrónico,8435,4749.0,1.0
0197-PNKNK,No,Mujer,0,Si,Si,69,Si,Si,Fibra óptica,Si,No,Si,No,No,No,Un año,No,Transferencia bancaria (automática),8445,58486.0,0.0
0201-MIBOL,No,Mujer,1,No,No,66,Si,Si,Fibra óptica,Si,No,No,No,Si,Si,Dos años,Si,Transferencia bancaria (automática),1024,647185.0,0.0
0201-OAMXR,Si,Mujer,0,No,No,70,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Un año,No,Tarjeta de crédito (automática),11555,81276.0,1.0
0203-HHYIJ,Si,Hombre,0,No,No,25,Si,Si,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Un año,No,Transferencia bancaria (automática),253,67635.0,1.0
0206-OYVOC,No,Mujer,0,Si,Si,46,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Dos años,Si,Cheque por correo,1925,8642.0,0.0
0206-TBWLC,No,Mujer,0,Si,No,54,Si,Si,Fibra óptica,Si,Si,Si,Si,Si,Si,Un año,Si,Cheque por correo,11465,60495.0,0.0
0207-MDKNV,Si,Mujer,0,No,No,15,Si,No,Fibra óptica,Si,No,Si,Si,Si,Si,Mes a mes,No,Cheque electrónico,1051,158275.0,1.0
0208-BPQEJ,No,Mujer,0,Si,Si,12,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Mes a mes,No,Transferencia bancaria (automática),194,1981.0,0.0
0212-ISBBF,No,Mujer,0,No,No,22,No,No phone service,DSL,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,5035,109885.0,0.0
0214-JHPFW,No,Mujer,0,Si,No,70,No,No phone service,DSL,No,Si,Si,Si,Si,Si,Dos años,No,Transferencia bancaria (automática),578,40393.0,0.0
0215-BQKGS,No,Hombre,0,No,No,30,Si,No,Fibra óptica,Si,Si,Si,No,No,No,Mes a mes,Si,Tarjeta de crédito (automática),843,24386.0,0.0
0218-QNVAS,No,Hombre,0,Si,Si,71,Si,Si,Fibra óptica,No,Si,No,No,Si,Si,Un año,No,Transferencia bancaria (automática),10055,711375.0,0.0
0219-QAERP,No,Hombre,0,Si,No,30,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Un año,No,Tarjeta de crédito (automática),198,57665.0,0.0
0219-YTZUE,Si,Hombre,0,Si,Si,4,Si,Si,Fibra óptica,No,Si,Si,No,No,No,Mes a mes,Si,Transferencia bancaria (automática),848,3719.0,1.0
0220-EBGCE,Si,Hombre,0,No,No,2,Si,No,Fibra óptica,No,No,Si,No,No,Si,Mes a mes,Si,Cheque electrónico,8585,1673.0,1.0
0221-NAUXK,No,Hombre,0,No,Si,10,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Un año,Si,Transferencia bancaria (automática),1995,2195.0,0.0
0221-WMXNQ,No,Hombre,1,No,No,4,Si,No,Fibra óptica,Si,No,No,No,No,No,Mes a mes,No,Cheque electrónico,7535,2734.0,0.0
0222-CNVPT,No,Hombre,1,No,No,52,No,No phone service,DSL,Si,No,No,No,Si,Si,Mes a mes,Si,Tarjeta de crédito (automática),488,255505.0,0.0
0224-HJAPT,Si,Hombre,0,No,No,5,Si,Si,DSL,No,No,No,No,No,No,Mes a mes,No,Cheque electrónico,4715,22315.0,1.0
0224-NIJLP,No,Hombre,0,Si,Si,8,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Dos años,No,Cheque por correo,2015,1655.0,0.0
0224-RLWWD,No,Mujer,1,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,443,893.0,0.0
0225-ZORZP,No,Hombre,0,No,No,3,Si,No,Fibra óptica,No,Si,No,No,No,Si,Mes a mes,No,Cheque electrónico,843,23505.0,0.0
0228-MAUWC,No,Hombre,0,No,No,19,Si,Si,DSL,No,No,Si,Si,No,No,Mes a mes,No,Cheque electrónico,5955,11446.0,0.0
0229-LFJAF,No,Hombre,0,No,No,72,Si,Si,DSL,Si,Si,Si,Si,No,No,Dos años,No,Transferencia bancaria (automática),6965,490825.0,0.0
0230-UBYPQ,No,Hombre,1,Si,No,63,No,No phone service,DSL,Si,No,No,Si,No,No,Un año,No,Transferencia bancaria (automática),361,22989.0,0.0
0230-WEQUW,No,Hombre,0,Si,No,66,No,No phone service,DSL,Si,Si,Si,Si,Si,No,Dos años,Si,Transferencia bancaria (automática),566,37892.0,0.0
0231-LXVAP,Si,Hombre,0,No,No,1,Si,No,Fibra óptica,No,No,No,Si,No,No,Mes a mes,Si,Cheque electrónico,759,759.0,1.0
0233-FTHAV,No,Mujer,0,No,No,60,Si,Si,Fibra óptica,No,No,Si,No,No,No,Un año,Si,Transferencia bancaria (automática),792,4765.0,0.0
0234-TEVTT,No,Mujer,0,Si,Si,48,No,No phone service,DSL,Si,No,Si,No,No,Si,Un año,No,Tarjeta de crédito (automática),450,21963.0,0.0
0235-KGSLC,Si,Mujer,0,No,No,1,Si,No,Fibra óptica,No,No,Si,No,Si,No,Mes a mes,Si,Tarjeta de crédito (automática),8555,8555.0,1.0
0236-HFWSV,Si,Hombre,0,No,No,15,Si,Si,Fibra óptica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,9335,144465.0,1.0
0237-YFUTL,No,Mujer,0,Si,No,50,Si,Si,Fibra óptica,Si,Si,No,Si,Si,Si,Mes a mes,Si,Transferencia bancaria (automática),10965,54058.0,0.0
0238-WHBIQ,No,Hombre,0,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Tarjeta de crédito (automática),897,63393.0,0.0
0239-OXEXL,No,Mujer,0,No,No,46,Si,Si,Fibra óptica,Si,Si,No,No,No,No,Mes a mes,No,Cheque por correo,8425,38476.0,0.0
0244-LGNFY,No,Mujer,0,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Transferencia bancaria (automática),9265,6733.0,0.0
0247-SLUJI,No,Hombre,0,Si,Si,1,Si,No,No,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Sin internet,Mes a mes,No,Cheque por correo,197,197.0,0.0
0248-IPDFW,No,Mujer,0,No,No,1,Si,Si,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,501,501.0,0.0
0248-PGHBZ,No,Mujer,1,No,No,67,Si,No,Fibra óptica,Si,Si,No,Si,Si,No,Dos años,Si,Transferencia bancaria (automática),9245,614085.0,0.0
0253-ZTEOB,No,Mujer,0,Si,Si,48,Si,Si,DSL,No,Si,No,Si,Si,Si,Dos años,No,Cheque electrónico,7965,38703.0,0.0
0254-FNMCI,No,Mujer,0,No,No,72,Si,No,Fibra óptica,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque electrónico,1099,76242.0,0.0
